direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
35.761961271441095,1594.6488536576312,6,8,1,97.5,2145,153.21428571428572,113.83897058779912,345,30,22.0,25.571428571428573,13.552618543578768,47,7,safe
51.21500216437505,2161.9553098518218,5,7,3,90.0,1830,152.5,119.03255857117414,345,15,22.0,28.25,14.451787663353855,47,2,unsafe
40.0,2649.65624202454,8,8,2,172.5,2880,180.0,113.61943055657338,345,30,24.5,25.4375,15.074683868990421,47,2,unsafe
49.2658996609579,1510.328272879645,6,7,3,105.0,2100,161.53846153846155,126.20777458961832,345,15,27.0,25.846153846153847,14.955555457864293,47,2,unsafe
22.137740824020742,1668.8120974247174,6,5,1,255.0,2145,195.0,108.5440840479949,330,60,32.0,27.90909090909091,16.070608663330624,47,2,unsafe
269.48612805935187,2067.5926070297755,8,7,2,285.0,2955,197.0,123.19090875547595,330,15,27.0,28.0,15.077577170531523,47,7,safe
72.49191721726419,1420.7382004506776,8,8,2,202.5,2955,184.6875,129.00422413142138,345,15,22.0,22.0,12.119199643540822,47,7,safe
167.6622457812031,1172.5833954554432,4,4,1,187.5,1455,181.875,116.05326094082837,330,30,27.0,27.625,12.60890062614501,42,2,unsafe
270.7840377976009,1885.6650158401046,6,6,1,172.5,2205,183.75,101.75798494467153,345,45,19.5,21.166666666666668,17.420454133639062,47,2,unsafe
41.18081800626967,1482.843431410099,6,5,2,255.0,2115,192.27272727272728,124.48737862938769,345,15,27.0,28.818181818181817,13.189652844133555,47,7,safe
40.77496789914136,1728.987642987919,6,5,2,240.0,2145,195.0,125.66188400190843,330,15,27.0,26.09090909090909,12.936590427961551,42,2,safe
208.2081710662985,1858.4726158692038,6,6,1,165.0,2010,167.5,114.04494727957044,330,15,24.5,24.916666666666668,17.965050947758417,47,2,unsafe
25.43772910137012,1462.8104068689754,8,7,1,285.0,2925,195.0,137.9130160644745,345,30,22.0,24.666666666666668,14.817407180595247,47,2,safe
35.761961271441095,1594.6488536576312,6,8,1,97.5,2145,153.21428571428572,113.83897058779912,345,30,22.0,25.571428571428573,13.552618543578768,47,7,safe
96.73815375500222,1590.5152157863329,6,5,2,255.0,2205,200.45454545454547,116.93927222464552,345,15,27.0,27.0,11.078234188139946,42,7,safe
13.228701606227839,1673.0405380579653,6,4,4,292.5,2175,217.5,117.96715644619056,345,60,39.5,33.5,13.97318861248212,47,12,safe
167.74661140877944,1625.0930606390948,4,4,1,195.0,1500,187.5,118.34800378544625,330,15,34.5,32.625,13.792547806696195,47,2,unsafe
88.31123842161416,1136.4545025299105,5,3,2,285.0,1740,217.5,125.049990003998,345,30,34.5,30.125,12.484365222148861,42,7,safe
269.48612805935187,1925.2312300509893,8,5,3,270.0,2790,214.6153846153846,112.77038513419029,345,15,27.0,26.615384615384617,14.736341585129244,47,2,unsafe
22.137740824020742,1789.6857445732242,8,8,1,187.5,2895,180.9375,131.6745366187024,330,15,24.5,22.0,13.693063937629153,47,2,safe
127.18008183839729,1576.0669165277095,5,6,3,90.0,1845,167.72727272727272,115.6280014129095,345,30,37.0,28.818181818181817,15.850541612875176,47,2,unsafe
177.5049295090139,1496.2530434199819,5,7,1,90.0,1740,145.0,118.16302298096474,300,15,32.0,28.25,13.863170633011771,47,2,safe
232.88569217140838,1752.2284674202904,6,5,2,255.0,2085,189.54545454545453,116.93927222464553,345,15,42.0,35.63636363636363,14.937887931959075,47,2,unsafe
0.0,1688.4006760819072,11,11,4,180.0,3945,179.3181818181818,132.59041044566067,345,15,22.0,22.227272727272727,12.74552262982723,47,2,unsafe
0.0,1260.5040276102507,5,8,5,90.0,1785,137.30769230769232,116.90915909068006,315,15,12.0,19.692307692307693,15.394227766299617,47,2,unsafe
21.3433690545087,1662.1336517509674,4,6,1,90.0,1455,145.5,107.76015033397086,315,30,24.5,24.0,12.288205727444508,42,7,safe
