direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,ai,safety
88.31123842161415,1628.1922814749655,9,8,3,270.0,3330,195.88235294117646,124.38360131792538,330,15,22.0,26.411764705882355,11.990480653317356,47,7,driver_ai,safe
233.21234958723787,2088.999425191951,8,7,3,240.0,2805,187.0,127.49901960407381,345,15,27.0,25.0,13.515423288475528,47,2,beamng,safe
167.6622457812031,1390.540499021616,3,4,1,75.0,1155,165.0,106.06601717798212,315,75,37.0,34.142857142857146,10.301575072754254,42,12,driver_ai,safe
25.43772910137012,2046.0992583515088,8,8,2,187.5,2835,177.1875,124.73683234614386,345,15,29.5,26.6875,14.412315697000256,47,2,driver_ai,safe
74.02204643285917,2166.876649811521,11,8,5,270.0,3810,200.5263157894737,131.23797926749737,345,15,22.0,22.0,12.66989801811655,47,7,beamng,safe
35.761961271441095,1691.7853974197992,6,6,2,180.0,2130,177.5,114.70069746954462,315,15,24.5,23.66666666666667,13.281147875424356,47,2,beamng,safe
177.5049295090139,1735.1508854942654,8,11,2,90.0,2835,149.21052631578948,123.92976743953702,330,15,12.0,19.63157894736842,14.268886012343115,47,2,driver_ai,safe
177.5049295090139,2064.267276892084,4,8,2,67.5,1515,126.25,116.90674702513964,315,15,34.5,34.083333333333336,8.769818824937163,47,17,beamng,safe
239.43738967899463,2262.336225640356,9,6,5,255.0,3120,208.0,119.35660853090624,345,15,22.0,22.66666666666667,13.021349989749739,42,2,driver_ai,safe
167.74661140877944,1567.2906283895886,6,9,5,90.0,2250,150.0,122.10651088291729,345,15,22.0,22.66666666666667,11.953614051360738,47,2,driver_ai,safe
0.0,1597.7704170209445,6,4,4,247.5,2130,213.0,101.91172650877816,345,75,19.5,18.5,11.84271928232701,37,2,beamng,safe
143.78439777343903,2360.9704790494634,11,10,3,240.0,3930,187.14285714285717,127.91897946013502,345,15,22.0,24.619047619047624,14.60748728588378,47,2,driver_ai,safe
107.6421108302429,1310.2964914222107,6,5,4,285.0,2115,192.27272727272728,133.98377846799954,330,15,37.0,30.181818181818183,14.965525121049387,47,2,beamng,safe
88.31123842161415,1642.2559139871023,6,6,3,195.0,2175,181.25,109.62293327584335,315,30,24.5,27.41666666666667,13.762620470761455,47,7,driver_ai,safe
303.72804020842824,1533.6898172433043,3,4,2,120.0,1140,162.85714285714286,102.18530586485454,330,15,27.0,29.857142857142854,11.909522857523621,47,17,beamng,safe
84.5803907040383,1387.2619396427303,10,7,4,300.0,3510,206.4705882352941,133.52422897430785,345,15,32.0,28.764705882352942,16.173796570432373,47,2,driver_ai,safe
303.72804020842824,1581.8124351744416,5,5,2,180.0,1725,172.5,114.48253141855312,345,45,29.5,27.5,16.347782724271816,47,2,driver_ai,safe
201.4122012976353,1299.365533757914,5,8,1,90.0,1725,132.69230769230768,104.39598033477712,285,15,32.0,27.384615384615387,13.65249180715296,47,7,driver_ai,safe
40.0,2118.050493693757,8,8,6,180.0,2880,180.0,123.23757543866238,345,15,22.0,22.9375,15.229366163764004,47,2,driver_ai,safe
167.74661140877944,1543.6915228623034,9,9,7,180.0,3330,185.0,127.47548783981962,345,15,22.0,20.055555555555557,12.598378300498409,47,2,driver_ai,safe
13.228701606227839,1397.6391608288134,12,7,3,315.0,4275,225.0,130.9479607365179,345,15,22.0,23.052631578947373,14.5619319286915,47,2,beamng,safe
22.13774082402075,1417.5634497558167,10,11,2,105.0,3585,170.71428571428572,136.88964719877134,345,15,17.0,19.38095238095238,14.194151010275126,47,2,beamng,safe
146.402635769407,1297.362691608409,7,6,3,255.0,2550,196.15384615384616,129.23076923076923,330,15,32.0,25.461538461538463,14.985199799060117,47,2,driver_ai,safe
55.195635650759584,1544.6164384117785,7,7,3,187.5,2490,177.85714285714286,122.49947938248388,315,15,29.5,23.42857142857143,15.402756180605587,42,2,beamng,safe
96.73815375500222,1605.8567605915966,5,5,2,180.0,1815,181.5,118.19581210855145,345,30,22.0,23.5,13.973188612482119,47,2,driver_ai,safe
70.3420215802759,1659.3803651191038,6,7,5,120.0,2145,165.0,112.55767752237415,345,30,27.0,23.923076923076927,13.234346564680965,47,7,beamng,safe
40.0,1376.7366318388877,8,9,4,75.0,2865,168.52941176470586,131.82837222382514,345,30,22.0,20.235294117647054,15.237451584692492,47,2,beamng,safe
162.90554262724112,198.167882602174,2,2,0,172.5,675,168.75,106.79273149423607,300,30,7.0,8.25,6.495190528383289,17,2,driver_ai,safe
205.2997808084558,1640.8170337775327,5,5,2,187.5,1860,186.0,108.62320194139004,345,45,32.0,29.0,13.638181696985855,47,2,driver_ai,safe
69.36083649386055,1547.3218325357168,8,12,6,75.0,2940,147.0,127.94920867281671,345,15,19.5,22.5,15.157506391224118,47,2,driver_ai,safe
270.7840377976009,1519.6655799626185,6,6,2,180.0,2070,172.5,117.39356881873896,330,15,27.0,24.5,11.814539065631518,47,12,beamng,safe
70.3420215802759,1912.5057101730952,10,8,2,262.5,3585,199.16666666666663,126.47188971818557,345,30,19.5,22.555555555555557,13.217085837078132,47,2,driver_ai,safe
25.43772910137012,2046.0992583515088,8,8,2,187.5,2835,177.1875,124.73683234614386,345,15,29.5,26.6875,14.412315697000256,47,2,beamng,safe
70.3420215802759,1753.5154098361618,4,5,2,120.0,1320,146.66666666666666,114.40668201153677,285,15,32.0,30.88888888888889,12.422599874998832,47,12,beamng,safe
269.48612805935187,507.4063813515863,2,1,2,285.0,720,240.0,85.73214099741124,315,120,27.0,27.0,12.247448713915892,42,12,beamng,safe
205.2997808084558,1566.5619410653994,4,7,2,90.0,1470,133.63636363636363,113.59999417995563,345,30,32.0,26.54545454545455,15.14393749905244,47,2,beamng,safe
52.783954494962046,1697.4322775041553,8,7,5,255.0,2835,189.0,126.42784503423286,345,15,22.0,25.0,12.489995996796793,47,7,driver_ai,safe
50.69907550720821,1703.6770732154664,7,11,4,67.5,2565,142.5,120.54563451241194,345,15,22.0,25.055555555555557,13.138037322650518,47,7,beamng,safe
120.09649018010694,1617.457561173709,7,8,4,75.0,2460,164.0,129.43724348115578,345,15,27.0,24.33333333333333,14.360439485692012,47,2,driver_ai,safe
149.8932953804139,2170.1671783424413,5,8,3,75.0,1725,132.69230769230768,109.57286624776906,300,15,32.0,29.30769230769231,9.925759923510725,47,12,beamng,safe
74.02204643285917,1607.5193348182854,7,6,3,285.0,2415,185.7692307692308,125.02070834382957,330,15,32.0,29.30769230769231,13.952582420936196,47,2,driver_ai,safe
149.8932953804139,1641.9313303084384,8,10,6,90.0,2925,162.5,123.9203373139373,330,15,22.0,23.944444444444446,14.253546234075,47,2,driver_ai,safe
20.0,1431.5681587142965,8,7,6,270.0,2880,192.0,130.44539087296263,345,15,17.0,19.33333333333333,12.892719737209143,47,2,driver_ai,safe
303.72804020842824,1844.8952120457766,5,6,1,120.0,1860,169.0909090909091,122.21103546768043,345,15,37.0,27.0,17.320508075688775,47,2,driver_ai,safe
20.00875747062484,1699.8844017330618,8,8,3,172.5,2805,175.3125,129.76503706218406,345,15,17.0,24.5,13.806701271484075,47,7,driver_ai,safe
40.0,2028.0804537025354,7,8,6,90.0,2505,167.0,114.87384384619504,315,15,22.0,22.33333333333333,11.175369742826808,42,2,beamng,safe
191.65905615326017,1505.9911616940333,7,6,2,240.0,2550,196.15384615384616,128.01973775335532,345,30,27.0,27.0,14.675987714106855,47,2,driver_ai,safe
