direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
96.73815375500222,1944.118337482278,11,10,2,255.0,4020,191.42857142857144,129.85470687641316,345,15,17.0,21.285714285714285,14.742691028964494,47,2,safe
74.02204643285917,1519.8174797430872,11,8,2,270.0,3915,206.05263157894737,122.81328304818985,345,30,22.0,21.473684210526315,15.121850419535413,47,2,safe
95.85405573057407,1489.6331221861944,8,7,1,270.0,2790,186.0,130.51436702524362,345,15,22.0,25.66666666666667,15.107025591499546,47,2,safe
303.72804020842824,1794.8186525478175,8,11,3,120.0,2985,157.10526315789474,121.50715583729048,345,15,17.0,21.473684210526315,15.465984478858012,47,2,safe
20.0,1477.6897202417106,10,8,10,262.5,3600,200.0,123.59207094308277,345,15,17.0,17.27777777777778,11.114582790968086,37,2,safe
60.532587865090335,1748.7175161552548,7,6,3,255.0,2460,189.23076923076923,125.43533660272553,345,15,22.0,23.153846153846153,13.178339768470625,42,2,safe
239.43738967899463,2031.1967485685489,10,10,4,180.0,3540,177.0,117.01922918905252,345,15,17.0,20.25,12.577261228105266,42,2,safe
21.3433690545087,1689.4927942518252,10,8,4,285.0,3570,198.33333333333331,133.37499349161706,345,15,19.5,22.83333333333333,14.361406616345072,47,2,safe
22.13774082402075,2072.6464456437934,9,9,3,172.5,3195,177.5,125.62344526401111,345,15,27.0,23.38888888888889,11.879669322412832,42,2,safe
52.783954494962046,1319.3211483607424,10,8,6,277.5,3600,200.0,137.11309200802089,345,15,24.5,22.0,12.801909579781013,47,2,safe
87.02449603613024,1865.911586329847,8,8,2,180.0,2925,182.8125,123.6043176582032,345,15,24.5,28.25,13.050383136138187,47,12,safe
107.6421108302429,1691.4268431417868,5,7,3,97.5,1785,148.75,113.48871089231741,300,15,27.0,27.83333333333333,10.769039986100072,42,2,safe
122.58874336577558,2320.351788409626,8,8,3,187.5,2865,179.0625,124.08689936391352,345,15,24.5,22.625,16.189792308735772,47,2,safe
131.7409281561325,1373.6976107800622,6,5,2,270.0,2100,190.9090909090909,130.46800690761808,345,15,32.0,29.72727272727273,15.130288160993853,47,7,safe
20.0,1931.602313385116,8,6,5,255.0,2925,208.92857142857144,118.30919797940737,345,30,19.5,20.928571428571427,15.48946317300103,47,2,safe
201.4122012976353,2192.923849947403,8,5,4,255.0,2775,213.46153846153842,110.09409638655286,345,30,27.0,23.923076923076927,14.615384615384615,47,2,safe
149.8932953804139,1525.4788501793573,4,4,1,180.0,1395,174.375,100.88475789235953,300,15,29.5,26.375,13.792547806696195,42,2,safe
235.36105035453582,1368.777664258734,6,11,2,30.0,2100,123.52941176470587,130.0086502312369,330,15,32.0,27.294117647058826,15.7620717729109,47,2,safe
47.93022280516734,1774.057677620603,8,9,5,90.0,2805,165.0,125.9201427609625,345,15,22.0,20.823529411764707,14.197080454290788,42,2,safe
167.6622457812031,2230.588990307978,7,8,2,120.0,2505,167.0,125.48306658669131,345,15,27.0,25.0,15.253414918196736,47,2,safe
269.48612805935187,1440.6520154287823,7,6,1,240.0,2460,189.23076923076923,117.01160616080507,345,15,27.0,22.0,11.435437497937313,42,2,safe
270.7840377976009,1551.5257219512314,5,3,1,247.5,1725,215.625,106.31431876751127,345,75,32.0,27.625,13.792547806696195,47,7,safe
84.5803907040383,1672.0152384942999,6,9,5,105.0,2265,151.0,131.16401945655676,345,15,42.0,31.66666666666667,16.06929439092527,47,2,safe
70.3420215802759,1750.1010842124986,8,10,4,105.0,2910,161.66666666666666,121.50674421154116,345,15,22.0,24.222222222222218,14.740554623801778,47,2,safe
30.94478023301919,2072.927524390368,10,10,5,180.0,3465,173.25,126.96726940436264,345,15,17.0,18.25,12.43734296383275,42,2,safe
88.31123842161415,1698.3889123380984,7,7,2,172.5,2535,181.07142857142856,123.23291784590808,345,15,27.0,25.92857142857143,13.781272415410529,47,2,safe
84.5803907040383,2478.571594703655,6,8,2,120.0,2175,155.35714285714286,112.19345992070835,315,15,29.5,26.642857142857146,16.197914957783667,47,2,safe
42.68642057136698,1186.3245334862575,6,6,2,172.5,2115,176.25,117.17374919323868,315,45,22.0,22.41666666666667,12.154960121512351,42,2,safe
87.02449603613024,2034.9343294686896,8,7,2,255.0,2805,187.0,118.72657663724665,345,15,17.0,23.66666666666667,13.864422895390279,47,2,safe
20.0,1573.312429555587,10,10,5,172.5,3645,182.25,133.5147463765707,345,15,22.0,25.5,13.332291625973385,47,2,safe
143.78439777343903,1511.217903465293,7,9,1,90.0,2565,160.3125,138.56935030427906,345,15,24.5,25.75,10.383279828647591,42,7,safe
303.72804020842824,1819.107186343028,8,7,3,255.0,2880,192.0,119.52405615607262,330,15,22.0,21.0,14.399074044303449,47,2,safe
22.13774082402075,1809.0158185174612,8,9,1,90.0,2805,165.0,115.84726252827087,330,15,17.0,18.176470588235293,10.918065407806226,42,2,safe
107.6421108302429,1795.4051993624325,14,13,3,255.0,5040,186.66666666666663,137.37620689996584,345,15,17.0,19.962962962962962,14.027701381041204,42,2,safe
28.527013487940422,2209.498426231677,6,6,2,172.5,2115,176.25,109.05130673219831,345,30,29.5,28.66666666666667,14.04358295529393,47,2,safe
205.2997808084558,1160.4760131629855,4,3,3,255.0,1365,195.0,102.67841614895092,330,60,27.0,25.57142857142857,9.89743318610787,42,7,safe
134.57702793083573,1874.9649650472888,6,5,1,240.0,2205,200.45454545454547,101.7897687628447,330,60,27.0,25.181818181818183,14.812882488000295,47,2,safe
20.00875747062484,1224.275025938024,5,4,5,240.0,1785,198.33333333333331,121.40382567649542,330,30,32.0,27.0,12.47219128924647,47,7,safe
177.5049295090139,2045.706519876183,10,10,7,180.0,3645,182.25,126.06025345048296,345,15,19.5,21.75,17.064216946581517,47,2,safe
233.21234958723787,1800.6109893865314,6,4,3,255.0,2100,210.0,115.99568957508724,345,30,34.5,30.5,14.150971698084906,47,2,safe
177.5049295090139,1888.9503117559257,6,5,1,240.0,2190,199.0909090909091,127.4544157696137,345,15,37.0,29.72727272727273,13.376308154147418,42,2,safe
41.18081800626967,1764.8886372205136,9,10,2,105.0,3300,173.68421052631575,130.06923364180403,345,15,27.0,23.842105263157894,13.974650576159739,47,2,safe
