direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
230.31818429708045,1040.9524526848172,4,6,0,97.5,1575,157.5,138.65875378063947,345,15,32.0,29.0,14.696938456699069,47,2,safe
127.18008183839729,1890.8102227437946,7,6,1,240.0,2460,189.23076923076923,115.97158395065435,345,15,27.0,26.23076923076923,14.256733071423568,42,2,unsafe
177.5049295090139,1832.1345333392023,7,6,2,255.0,2505,192.69230769230768,116.61269532113204,330,30,27.0,23.923076923076923,14.746376548216011,47,2,unsafe
167.74661140877944,980.807760407454,4,6,2,97.5,1515,151.5,112.9391429044864,330,30,29.5,25.5,14.84082207965583,47,2,unsafe
233.21234958723784,1938.8298758784813,9,8,1,270.0,3330,195.88235294117646,122.12861222447194,345,30,27.0,26.41176470588235,14.233592508897484,47,2,safe
20.0,1673.465513660708,12,9,4,255.0,4305,205.0,130.95800853708795,345,15,17.0,19.142857142857142,11.502735551601107,47,2,safe
20.0,2112.0138080346464,10,10,6,195.0,3630,181.5,135.9052979099785,345,15,22.0,22.75,14.686303142724515,47,2,safe
303.72804020842824,1879.832148617491,8,7,2,240.0,2955,197.0,116.04309544302927,345,15,17.0,21.333333333333332,15.58489297008128,47,2,unsafe
122.58874336577558,215.1823079240665,1,1,1,180.0,360,180.0,90.0,270,90,19.5,19.5,7.5,27,12,safe
13.228701606227839,1509.7360957505512,5,6,2,120.0,1800,163.63636363636363,117.49450488293462,300,15,22.0,20.636363636363637,12.44823994329923,37,2,safe
15.011974570875552,1605.6994543932685,8,8,2,180.0,2910,181.875,126.15559589253265,330,15,27.0,27.625,9.98044963916957,42,7,unsafe
121.44491777629358,2296.7667471910618,9,13,5,90.0,3315,150.6818181818182,113.01946186533795,345,15,22.0,19.954545454545453,13.02611807355191,47,2,safe
127.18008183839729,2022.9856312054067,9,7,1,262.5,3240,202.5,124.93748436718262,345,15,27.0,27.625,15.499495959546556,47,2,safe
87.02449603613024,2288.3651984266603,10,5,7,270.0,3510,234.0,108.0,345,30,17.0,20.333333333333332,13.498971154211057,42,2,safe
20.0,2085.179409065265,5,4,3,255.0,1785,198.33333333333334,109.03618155864083,315,15,27.0,28.11111111111111,16.29208699846131,47,2,unsafe
116.17418861005244,1341.1932661694534,3,4,2,75.0,1035,147.85714285714286,97.35271449943326,270,60,32.0,32.0,11.952286093343936,47,12,safe
6.545009041319231,1578.3984544050695,11,8,3,285.0,3915,206.05263157894737,131.8350139914561,345,15,22.0,23.842105263157894,14.437754446679163,47,2,safe
21.3433690545087,2182.306237253325,8,10,1,90.0,2880,160.0,121.8605760695394,330,15,24.5,23.666666666666668,16.158932858054428,47,2,unsafe
