Model,Split,Training Accuracy,Test Accuracy,Cross-Validation,Precision Safe,Precision Unsafe,Recall Safe,Recall Unsafe,F-Measure Safe,F-Measure Unsafe,Cros Precision Safe,Cros Precision Unsafe,Cros Recall Safe,Cros Recall Unsafe,Cros F-Measure Safe,Cros F-Measure Unsafe,TPos Safe,TNeg Safe,FPos Safe,FNeg Safe,TPos Unsafe,TNeg Unsafe,FPos Unsafe,FNeg Unsafe,Cros TPos Safe,Cros TNeg Safe,Cros FPos Safe,Cros FNeg Safe,Cros TPos Unsafe,Cros TNeg Unsafe,Cros FPos Unsafe,Cros FNeg Unsafe,Total Number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j48,0.8,89.95983936,61.1814346,64.76190476,0.841666667,0.376068376,0.58045977,0.698412698,0.68707483,0.488888889,0.702970297,0.580060423,0.671394799,0.615384615,0.686819831,0.597200622,101,44,19,73,44,101,73,19,284,192,120,139,192,284,139,120,735
naiveBayes,0.8,67.87148594,55.69620253,63.67346939,0.936708861,0.367088608,0.425287356,0.920634921,0.584980237,0.524886878,0.791044776,0.548179872,0.501182033,0.820512821,0.613603473,0.657252888,74,58,5,100,58,74,100,5,212,256,56,211,256,212,211,56,735
logistic,0.8,74.49799197,66.24472574,70.06802721,0.927272727,0.433070866,0.586206897,0.873015873,0.718309859,0.578947368,0.744578313,0.64375,0.730496454,0.66025641,0.737470167,0.651898734,102,55,8,72,55,102,72,8,309,206,106,114,206,309,114,106,735
randomForest,0.8,100,63.71308017,67.34693878,0.885964912,0.406504065,0.58045977,0.793650794,0.701388889,0.537634409,0.717339667,0.614649682,0.713947991,0.618589744,0.71563981,0.616613419,101,50,13,73,50,101,73,13,302,193,119,121,193,302,121,119,735
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j48,0.6,90.37433155,66.52542373,64.89361702,0.838709677,0.414507772,0.674351585,0.64,0.747603834,0.503144654,0.715063521,0.525423729,0.737827715,0.496794872,0.726267281,0.510708402,234,80,45,113,80,234,113,45,394,155,157,140,155,394,140,157,846
naiveBayes,0.6,66.57754011,61.65254237,63.71158392,0.877272727,0.388888889,0.556195965,0.784,0.680776014,0.519893899,0.812672176,0.505175983,0.552434457,0.782051282,0.657748049,0.613836478,193,98,27,154,98,193,154,27,295,244,68,239,244,295,239,68,846
logistic,0.6,72.99465241,68.6440678,69.5035461,0.884169884,0.44600939,0.659942363,0.76,0.755775578,0.562130178,0.745551601,0.595070423,0.784644195,0.541666667,0.76459854,0.567114094,229,95,30,118,95,229,118,30,419,169,143,115,169,419,115,143,846
randomForest,0.6,100,68.22033898,69.03073286,0.871698113,0.439613527,0.665706052,0.728,0.754901961,0.548192771,0.730508475,0.59765625,0.807116105,0.490384615,0.766903915,0.538732394,231,91,34,116,91,231,116,34,431,153,159,103,153,431,103,159,846
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j48,0.5,88.78205128,63.15789474,65.48279689,0.877622378,0.399339934,0.579676674,0.775641026,0.698191933,0.527233115,0.734797297,0.501618123,0.738539898,0.496794872,0.736663844,0.499194847,251,121,35,182,121,251,182,35,435,155,157,154,155,435,154,157,901
naiveBayes,0.5,69.87179487,58.06451613,63.81798002,0.890756303,0.37037037,0.48960739,0.833333333,0.631892697,0.512820513,0.836317136,0.48627451,0.555178268,0.794871795,0.667346939,0.603406326,212,130,26,221,130,212,221,26,327,248,64,262,248,327,262,64,901
logistic,0.5,73.3974359,65.36502547,71.25416204,0.916363636,0.423566879,0.581986143,0.852564103,0.711864407,0.565957447,0.761904762,0.597785978,0.814940577,0.519230769,0.787530763,0.555746141,252,133,23,181,133,252,181,23,480,162,150,109,162,480,109,150,901
randomForest,0.5,100,65.19524618,72.69700333,0.916058394,0.422222222,0.579676674,0.852564103,0.710042433,0.564755839,0.768388106,0.625954198,0.833616299,0.525641026,0.799674267,0.571428571,251,133,23,182,133,251,182,23,491,164,148,98,164,491,98,148,901
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j48,0.4,86.69354839,63.27683616,66.10878661,0.840314136,0.389570552,0.617307692,0.675531915,0.711751663,0.494163424,0.737388724,0.478723404,0.77173913,0.432692308,0.754172989,0.454545455,321,127,61,199,127,321,199,61,497,135,177,147,135,497,147,177,956
naiveBayes,0.4,65.32258065,61.15819209,61.50627615,0.881619938,0.387596899,0.544230769,0.79787234,0.673008323,0.52173913,0.836585366,0.448717949,0.532608696,0.78525641,0.65085389,0.571095571,283,150,38,237,150,283,237,38,343,245,67,301,245,343,301,67,956
logistic,0.4,68.9516129,65.81920904,71.33891213,0.860103627,0.416149068,0.638461538,0.712765957,0.732891832,0.525490196,0.751358696,0.586363636,0.858695652,0.413461538,0.801449275,0.484962406,332,134,54,188,134,332,188,54,553,129,183,91,129,553,91,183,956
randomForest,0.4,100,65.25423729,69.35146444,0.876373626,0.415697674,0.613461538,0.760638298,0.721719457,0.537593985,0.743411928,0.540425532,0.832298137,0.407051282,0.785347985,0.464351005,319,143,45,201,143,319,201,45,536,127,185,108,127,536,108,185,956
