direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
40.0,1849.8895662334035,7,8,3,105.0,2520,168.0,123.47469376354006,330,15,22.0,23.666666666666668,13.249737942901195,42,2,safe
20.0,2082.8825925692263,11,7,6,277.5,3900,216.66666666666666,127.49727665936851,345,15,24.5,22.27777777777778,14.669717696123215,47,2,unsafe
235.3610503545358,1588.019455981722,6,6,1,187.5,2250,187.5,108.77154958903546,345,15,29.5,24.5,13.768926368215256,47,2,unsafe
20.0,2178.3059153592058,8,9,6,120.0,2925,172.05882352941177,117.11054133908512,345,15,17.0,20.235294117647058,12.941176470588236,47,2,unsafe
239.43738967899466,1701.886395273759,4,5,4,105.0,1530,170.0,108.39741694339399,315,15,22.0,20.88888888888889,18.070506630322882,47,2,unsafe
40.0,1624.522321764246,12,8,3,292.5,4275,213.75,126.55902773014654,345,15,19.5,22.0,14.404860290887934,47,2,unsafe
40.0,1334.7919427921925,7,8,3,120.0,2550,170.0,124.85992151206888,330,15,17.0,17.666666666666668,10.780641085864152,37,2,unsafe
146.402635769407,1638.7355637670926,6,5,4,255.0,2265,205.9090909090909,103.34888357179864,330,75,27.0,23.818181818181817,10.928013891064827,37,2,safe
102.38665564547864,2271.3999322634995,7,9,1,112.5,2550,159.375,113.72767638090563,315,15,17.0,18.875,11.842059575935261,42,2,unsafe
269.48612805935187,1656.897450462996,9,8,1,240.0,3270,192.35294117647058,116.89761290597077,345,15,17.0,21.705882352941178,16.66897331212324,47,2,unsafe
0.17877817087907744,2158.55309583495,8,7,2,255.0,2865,191.0,119.43198901466893,345,30,27.0,27.0,15.599145275730121,47,2,unsafe
122.58874336577558,1820.1334464374886,8,9,2,105.0,2910,171.1764705882353,111.30944428728073,345,30,17.0,19.941176470588236,12.012104621565962,47,2,unsafe
167.74661140877944,1741.5065401237255,10,10,4,180.0,3645,182.25,128.35960228981702,345,15,17.0,20.0,12.884098726725126,47,2,unsafe
44.8290868092151,2078.2820416581862,14,10,9,270.0,4935,205.625,136.00178077878246,345,15,19.5,22.416666666666668,15.201196955795583,47,2,unsafe
40.0,1714.7016611326903,5,5,2,180.0,1800,180.0,126.21410380777577,345,15,29.5,27.5,12.737739202856996,42,2,safe
102.38665564547864,1701.5368119364146,8,10,3,112.5,2955,164.16666666666666,121.2922320495239,345,15,22.0,22.0,12.692955176439847,47,2,safe
18.41187295745632,1627.9850200287253,10,12,4,90.0,3600,163.63636363636363,126.222943258976,345,15,17.0,20.181818181818183,15.487931852182564,47,2,unsafe
122.58874336577558,1432.4934945168752,7,9,1,97.5,2595,162.1875,129.49383129612778,345,15,22.0,24.5,12.5,47,7,safe
270.7840377976009,2069.710828256572,5,7,3,112.5,1695,141.25,93.36587974201282,255,15,24.5,23.25,12.767961205037135,47,2,unsafe
17.425806920987753,2281.20371780004,10,11,2,120.0,3675,175.0,117.95883059053152,330,15,17.0,20.571428571428573,14.811743823805514,47,2,unsafe
239.43738967899466,1542.9129435660614,8,8,7,165.0,2820,176.25,137.32375067700417,345,15,22.0,22.9375,15.931371370663607,47,2,unsafe
74.02204643285917,1433.4577850067851,5,5,1,157.5,1800,180.0,112.0490963818986,345,60,27.0,30.0,12.884098726725126,47,12,safe
51.21500216437505,1464.0309158219552,8,7,5,255.0,2925,195.0,131.45341380123986,345,15,32.0,24.666666666666668,14.817407180595247,42,2,unsafe
20.0,2109.3927716084913,8,9,6,120.0,2865,168.52941176470588,114.18206186873294,330,15,22.0,21.11764705882353,11.661310353881769,42,2,safe
88.31123842161416,2330.6511951130374,6,7,1,120.0,2160,166.15384615384616,110.45628871176295,315,15,27.0,28.153846153846153,10.946345746736696,47,7,safe
303.72804020842824,2170.3158599745275,7,8,1,120.0,2415,161.0,98.50888284819801,330,30,17.0,20.0,14.583095236151571,47,2,unsafe
143.78439777343905,1719.8045076098515,5,10,6,45.0,1785,119.0,117.66052864066182,330,15,27.0,27.0,10.954451150103322,47,7,safe
120.09649018010694,1952.9878322964028,6,6,1,180.0,2190,182.5,107.96411440844592,330,30,29.5,25.333333333333332,17.480147469502526,47,2,safe
24.41455438951621,1975.7741460858324,10,7,4,270.0,3570,210.0,126.23507483123325,345,15,27.0,24.352941176470587,9.869389256213246,42,7,safe
28.52701348794042,1745.8854962513333,10,7,7,285.0,3630,213.52941176470588,129.19165773789632,345,15,7.0,16.11764705882353,17.08415968406777,47,2,unsafe
50.6990755072082,1581.7269801921113,5,8,5,60.0,1785,137.30769230769232,123.53161203351002,315,15,17.0,25.076923076923077,16.35407048113023,47,7,safe
40.77496789914136,1672.3595647913044,4,6,2,105.0,1485,148.5,110.72601320376346,315,15,24.5,26.5,11.280514172678478,42,7,safe
177.5049295090139,258.02241154313896,1,1,1,195.0,390,195.0,75.0,270,120,19.5,19.5,17.5,37,2,safe
167.6622457812031,1662.4505720462912,6,6,2,187.5,2175,181.25,112.49305534120762,330,30,29.5,25.75,12.43734296383275,42,2,safe
51.21500216437505,1343.3769799856072,7,9,6,90.0,2535,158.4375,117.50955745704262,345,30,22.0,19.5,12.747548783981962,37,2,safe
127.18008183839729,1183.7482246438103,5,6,1,75.0,1800,163.63636363636363,118.70687559720199,315,15,27.0,28.363636363636363,13.831930958820855,47,2,unsafe
0.0,1977.2750081215002,11,11,4,172.5,3975,180.6818181818182,122.40298063944964,345,15,12.0,15.863636363636363,12.962517483272,42,2,unsafe
22.352553259558306,1475.6821222368173,8,7,7,270.0,2850,190.0,135.79396157414365,345,15,22.0,20.333333333333332,11.925695879998878,42,2,unsafe
233.21234958723784,2196.77783607156,10,8,5,255.0,3585,199.16666666666666,126.27406261338426,345,15,17.0,20.333333333333332,14.624940645653536,47,2,unsafe
28.52701348794042,1846.2355200705936,11,10,2,255.0,3945,187.85714285714286,128.58730060760675,345,15,22.0,22.952380952380953,12.307474269828653,47,2,safe
122.58874336577558,1774.0536749283397,6,5,2,255.0,2115,192.27272727272728,111.85143629678115,330,15,27.0,27.90909090909091,14.588005941710193,47,2,unsafe
167.6622457812031,1383.03582666722,5,8,3,45.0,1755,135.0,123.13219912573015,330,15,27.0,27.76923076923077,14.256733071423568,47,7,safe
116.17418861005244,1340.7177985992582,5,5,1,172.5,1725,172.5,111.6971351467888,315,30,34.5,31.0,14.106735979665885,47,2,safe
35.14295454662025,1401.8894692259883,7,7,2,180.0,2505,178.92857142857142,119.92823108945156,330,15,24.5,23.071428571428573,14.660268394124136,47,2,unsafe
127.18008183839729,1230.4260731566208,5,5,2,180.0,1815,181.5,138.04075485160172,345,15,42.0,32.5,16.948451256678293,47,2,safe
120.09649018010694,1831.2810886436312,9,9,2,172.5,3255,180.83333333333334,117.84229103151192,345,30,22.0,21.72222222222222,13.69024614483512,47,2,safe
0.0,2138.983015720182,7,10,3,75.0,2490,146.47058823529412,111.72135382125468,315,15,27.0,25.235294117647058,16.53349332065317,47,2,unsafe
270.7840377976009,1810.2306810285932,6,5,2,255.0,2115,192.27272727272728,108.1321505541764,330,30,27.0,24.272727272727273,13.205308223939955,47,2,unsafe
210.39068269778065,376.5722063359621,3,2,1,300.0,1110,222.0,115.17812292271479,330,60,12.0,19.0,15.362291495737216,42,2,safe
51.21500216437505,1552.902644562993,11,9,6,270.0,4005,200.25,126.94954706496593,345,15,12.0,18.0,13.92838827718412,47,2,safe
146.84250886188423,1633.0074088874069,6,7,1,120.0,2130,163.84615384615384,112.01225630318396,315,15,22.0,25.076923076923077,13.803352649943355,47,7,unsafe
304.0,1282.9144092331944,4,5,0,105.0,1425,158.33333333333334,113.60262125301315,330,30,22.0,24.22222222222222,16.51785416368723,47,2,safe
122.58874336577558,1733.8277450427242,10,11,3,105.0,3510,167.14285714285714,138.50882238164837,345,15,22.0,22.714285714285715,15.681784571500105,47,2,unsafe
134.57702793083573,198.48769587593944,1,1,1,165.0,330,165.0,75.0,240,90,12.0,12.0,10.0,22,2,safe
20.0,1547.9422862236272,8,11,4,75.0,2880,151.57894736842104,137.29580657891603,345,15,22.0,22.0,13.572417850765923,47,2,unsafe
191.65905615326017,1712.948972666973,12,11,6,240.0,4410,191.7391304347826,126.35017502828651,345,15,12.0,19.17391304347826,16.928628116462423,47,2,unsafe
146.84250886188423,864.5391527059902,4,4,1,180.0,1440,180.0,121.8605760695394,330,30,32.0,30.75,11.388041973930374,47,12,safe
235.3610503545358,1538.333189995289,10,10,4,180.0,3540,177.0,122.65194658055778,330,15,24.5,22.0,12.84523257866513,47,2,unsafe
203.66023257378484,203.66023257378484,2,0,0,292.5,585,292.5,22.5,315,270,19.5,19.5,17.5,37,2,safe
60.53258786509033,2358.269102120618,10,8,4,247.5,3690,205.0,116.940155635265,345,30,14.5,20.61111111111111,14.22102859574467,47,2,unsafe
177.5049295090139,1939.5251741796303,6,9,3,75.0,2220,148.0,126.7911668847637,330,15,22.0,23.666666666666668,16.090024514862893,47,2,safe
134.45562937167668,2767.3224956199115,12,8,4,255.0,4260,213.0,99.0,345,75,22.0,22.75,12.676257334087218,47,7,unsafe
53.808168941459456,2351.4266816434188,13,12,4,240.0,4695,187.8,127.00456684702326,345,30,17.0,20.0,13.416407864998739,47,2,unsafe
149.89329538041386,1641.6361532039148,6,7,1,120.0,2175,167.30769230769232,130.4815840913278,345,15,32.0,28.923076923076923,15.004930156254735,47,2,unsafe
107.6421108302429,1909.8262465940718,9,10,4,105.0,3285,172.89473684210526,121.21442277257539,345,15,17.0,18.842105263157894,13.397812696166163,42,2,safe
177.15849370950104,1872.5655484843576,4,4,1,172.5,1395,174.375,94.55281262342226,300,60,32.0,30.125,12.975337182516684,47,7,safe
233.21234958723784,1566.1267592975787,8,11,3,75.0,2910,153.1578947368421,130.00213081569277,345,15,17.0,19.63157894736842,12.708101544894353,47,2,unsafe
269.48612805935187,1683.3726231515323,11,9,1,247.5,3855,192.75,127.65652157253855,345,15,24.5,23.5,15.580436450882884,47,2,unsafe
37.39748745622567,2510.9938307695124,9,11,4,97.5,3270,163.5,120.92456326156403,345,15,17.0,21.5,12.439855304624729,47,2,unsafe
120.09649018010694,1642.0719650130252,8,10,2,105.0,2910,161.66666666666666,125.05554321536046,345,15,12.0,17.27777777777778,15.227188970739718,47,2,unsafe
127.18008183839729,2317.3368134281013,11,9,1,240.0,3975,198.75,118.00291309963497,345,15,19.5,22.25,13.083864108129525,47,2,unsafe
239.43738967899466,1716.5338026040824,6,9,4,120.0,2145,143.0,109.52625256074454,330,15,17.0,20.333333333333332,14.22048600513436,42,2,unsafe
91.21881024573129,2241.4594496523996,6,6,4,187.5,2115,176.25,113.10255302158303,315,15,24.5,24.916666666666668,15.063522902104348,47,2,unsafe
70.3420215802759,2061.9038030987736,11,7,1,277.5,4020,223.33333333333334,126.08418704271453,345,15,27.0,27.27777777777778,14.7640914065759,47,2,unsafe
84.5803907040383,1795.5335146354203,9,8,3,240.0,3225,189.7058823529412,119.44073829894859,345,15,22.0,23.176470588235293,14.402758290229757,47,2,unsafe
