is_start_seg,is_last_seg,prev_is_right_turn,prev_is_left_turn,prev_is_straight,prev_angles,prev_pivot_off,prev_actual_length,prev_direct_length,prev_directed_hausdorff,seg_is_right_turn,seg_is_left_turn,seg_is_straight,seg_angles,seg_pivot_off,seg_actual_length,seg_direct_length,next_is_right_turn,next_is_left_turn,next_is_straight,next_angles,next_pivot_off,next_actual_length,next_direct_length,next_directed_hausdorff,safety
0,0,1,0,0,15,42,43.96834246425868,43.856800585937336,9.396042389064581,0,0,1,0,0,50.0,50.0,1,0,0,90,32,200.99813697946826,181.01933598375615,10.654705455968877,safe
0,0,0,1,0,-45,32,100.49906848973416,97.96695868546296,1.5861904189075495,0,0,1,0,0,10.0,10.0,1,0,0,60,27,113.06145205095093,108.0,1.0160442727714378,safe
0,0,1,0,0,15,22,23.03103652889741,22.972609830729084,79.57104514766543,0,1,0,-30,47,98.405337896198,97.31596095854778,1,0,0,15,2,2.093730593536128,2.088419075520825,98.42260070659222,safe
1,0,0,0,0,-1,-1,-1.0,-1.0,-1.0,0,1,0,-60,17,71.18684018022833,68.0,1,0,0,30,12,25.12476712243353,24.84662832984199,58.168829094012615,safe
0,0,1,0,0,75,42,219.84171232129341,204.54384014693008,108.03281988753912,0,1,0,-90,22,138.18621917338447,124.45079348883236,1,0,0,75,7,36.64028538688224,34.09064002448835,124.06496063086374,safe
0,0,0,0,1,0,0,50.0,50.0,81.60123047450854,1,0,0,45,42,131.90502739277605,128.58163327467014,0,1,0,-15,32,33.49968949657804,33.4147052083332,97.21681469081119,safe
0,0,0,0,1,0,0,10.0,10.0,60.0,0,0,1,0,0,70.0,70.0,0,1,0,-15,7,7.328057077376447,7.309466764322887,61.727421667365114,safe
0,0,1,0,0,105,37,271.13811186292855,234.83258872620567,2.6086283035100504,0,0,1,0,0,10.0,10.0,0,1,0,-30,7,14.656114154752894,14.49386652574116,2.034629915826182,safe
0,0,0,0,1,0,0,90.0,90.0,92.91413859535378,0,1,0,-105,17,124.57697031539959,107.89605427960794,0,1,0,-30,12,25.12476712243353,24.84662832984199,94.3222915330158,safe
0,0,0,1,0,-75,27,141.32681506368863,131.4924686658837,10.827082124408744,0,0,1,0,0,50.0,50.0,0,0,1,0,0,50.0,50.0,0.0,safe
0,0,0,1,0,-45,42,131.90502739277605,128.58163327467014,175.2766387867496,1,0,0,90,37,232.40409588251018,209.3036072312181,1,0,0,45,32,100.49906848973416,97.96695868546296,121.51976080025531,safe
0,0,1,0,0,30,37,77.46803196083674,76.61043735034613,26.38549704386402,0,0,1,0,0,90.0,90.0,0,1,0,-120,27,226.12290410190187,187.06148721743872,31.794320243566194,safe
0,0,0,0,1,0,0,70.0,70.0,91.37303125241806,0,1,0,-75,27,141.32681506368863,131.4924686658837,0,1,0,-105,32,234.4978264760464,203.0984551145562,13.315001276884288,safe
0,0,0,1,0,-120,12,100.49906848973411,83.13843876330607,138.5640646055102,0,1,0,-120,32,267.99751597262446,221.70250336881637,1,0,0,120,7,58.624456619011575,48.497422611928556,225.72421212190446,safe
1,0,0,0,0,-1,-1,-1.0,-1.0,-1.0,0,0,1,0,0,50.0,50.0,0,1,0,-45,32,100.49906848973416,97.96695868546296,9.323393103041258,safe
0,0,0,0,1,0,0,10.0,10.0,19.36745231129299,0,1,0,-15,27,28.265363012737733,28.193657519531143,1,0,0,45,2,6.281191780608383,6.1229349178414365,26.63058836683361,safe
0,0,0,1,0,-120,42,351.74673971406935,290.98453567157134,238.4989397832592,1,0,0,105,42,307.77839724981067,266.56672233785497,0,1,0,-30,12,25.12476712243353,24.84662832984199,251.1533471345584,safe
