direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
84.5803907040383,1393.4448700898108,5,3,2,285.0,1785,223.125,118.21425199611086,345,45,37.0,36.375,6.817945071647322,47,27,safe
201.41220129763533,296.14004919904704,2,1,1,255.0,720,240.0,92.46621004453465,345,120,27.0,22.0,10.801234497346433,32,7,safe
143.78439777343905,1365.402443580961,4,3,2,255.0,1380,197.14285714285714,123.80448707703677,345,15,42.0,41.285714285714285,3.1943828249996997,47,37,safe
28.52701348794042,1316.2500335716825,6,6,2,165.0,2115,176.25,124.31688340688082,345,15,27.0,26.166666666666668,13.359349618234496,47,7,unsafe
239.43738967899466,1640.9954513255689,6,5,1,255.0,2100,190.9090909090909,120.69529970922989,330,15,37.0,32.90909090909091,10.184252955640035,47,12,safe
22.137740824020742,2220.7228132062887,7,13,4,75.0,2475,123.75,115.49756490939538,345,15,17.0,21.0,12.30853362509117,42,2,unsafe
31.294689322266162,1746.4198109538684,8,7,4,270.0,2850,190.0,134.7961423780369,345,15,32.0,30.333333333333332,15.456030825826174,47,2,unsafe
102.38665564547864,2441.3185660613067,4,6,1,120.0,1500,150.0,103.48912986396203,300,15,39.5,37.0,8.94427190999916,47,17,safe
67.50537150874827,1687.7240688485558,5,6,4,120.0,1800,163.63636363636363,125.08344322329411,315,15,32.0,30.636363636363637,11.299820813323684,47,7,safe
20.0,1653.5092500864173,5,5,5,172.5,1800,180.0,123.69316876852982,345,15,24.5,25.0,13.820274961085254,42,7,unsafe
201.41220129763533,1897.6964054794998,7,9,2,97.5,2430,151.875,120.56993561829583,345,15,32.0,26.0625,13.943944698326941,47,2,unsafe
40.77496789914136,2215.226375739243,8,7,3,255.0,2865,191.0,117.40528097151338,345,15,17.0,22.0,15.811388300841896,42,2,unsafe
149.89329538041386,1310.4144530783028,4,6,2,82.5,1500,150.0,129.0348790056394,345,15,32.0,34.0,8.12403840463596,47,17,safe
69.75590131464732,1363.6981804235445,9,7,5,285.0,3180,198.75,142.7464973300571,345,15,27.0,24.1875,10.150238605569822,42,7,unsafe
235.3610503545358,1264.130176597992,3,3,2,165.0,1020,170.0,104.88088481701516,330,60,34.5,34.5,4.7871355387816905,42,27,safe
20.0,2067.229284460656,9,10,3,105.0,3240,170.52631578947367,120.80753218982257,330,15,27.0,23.31578947368421,12.443779386880934,47,2,unsafe
201.41220129763533,1724.637408987762,6,6,3,180.0,2085,173.75,115.12900373059779,345,30,19.5,19.5,11.273124382057235,42,2,unsafe
303.72804020842824,1298.913389264384,3,2,1,240.0,1005,201.0,100.66777041337511,315,60,47.0,43.0,5.830951894845301,47,32,safe
177.5049295090139,1487.7264966926898,5,5,4,172.5,1770,177.0,114.9826073804208,330,30,27.0,26.5,12.134661099511597,47,2,unsafe
167.6622457812031,1841.7349347796785,3,3,1,180.0,1110,185.0,91.10433579144299,330,75,39.5,37.0,5.773502691896258,42,27,safe
96.73815375500222,1618.6687514018624,6,3,1,285.0,2115,235.0,102.22524150130437,345,75,37.0,35.333333333333336,10.801234497346435,47,17,safe
18.41187295745632,2072.1380213495313,7,7,2,187.5,2535,181.07142857142858,125.81418514489323,330,15,22.0,23.785714285714285,13.83669330557894,47,7,unsafe
47.113106226786826,2293.9874616626676,12,11,1,240.0,4320,187.82608695652175,119.00699730027314,345,15,12.0,17.652173913043477,15.058173270042545,47,2,unsafe
116.17418861005244,1610.269658676064,4,4,3,165.0,1380,172.5,117.87175234126283,345,15,37.0,32.625,13.792547806696195,47,2,safe
167.6622457812031,1194.687288727523,4,6,2,52.5,1395,139.5,129.04359728401872,330,15,42.0,35.0,12.489995996796797,47,2,safe
