direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,safety
50.6990755072082,2075.583476092987,9,8,2,255.0,3255,191.47058823529412,129.39638946097503,345,15,27.0,25.823529411764707,18.111534492165475,47,2,unsafe
167.6622457812031,1284.9438595288984,4,3,5,285.0,1470,210.0,125.75486358103893,345,15,37.0,38.42857142857143,5.150787536377128,47,32,safe
20.0,2186.760731691625,13,8,7,300.0,4665,222.14285714285714,108.32679205787929,330,30,12.0,16.285714285714285,14.249955245185717,47,2,unsafe
70.3420215802759,534.3913551064777,1,1,1,187.5,375,187.5,82.5,270,105,29.5,29.5,12.5,42,17,safe
239.43738967899466,1640.9954513255689,6,5,1,255.0,2100,190.9090909090909,120.69529970922989,330,15,37.0,32.90909090909091,10.184252955640035,47,12,safe
122.58874336577558,2429.423882063591,11,10,4,255.0,3900,185.71428571428572,115.30792846698331,345,15,17.0,18.428571428571427,11.034885929768064,37,2,unsafe
127.18008183839729,1825.1079273561081,7,12,2,75.0,2550,134.21052631578948,117.45394571014158,345,15,27.0,25.42105263157895,12.253101817708227,47,7,unsafe
20.0,2078.7482500395495,7,5,6,255.0,2505,208.75,118.65785898961771,345,45,32.0,29.916666666666668,10.696248044161196,47,12,safe
116.17418861005244,1653.895608575703,11,10,1,240.0,3840,182.85714285714286,118.43796275015947,345,30,17.0,15.095238095238095,9.937446073671053,37,2,unsafe
120.09649018010694,199.81461889269136,1,1,1,195.0,390,195.0,90.0,285,105,17.0,17.0,15.0,32,2,safe
155.8796514441242,1961.6375676477608,10,11,3,120.0,3705,176.42857142857142,121.05825887074506,345,15,17.0,19.857142857142858,14.684898995342166,42,2,unsafe
84.5803907040383,1703.157810124122,6,7,3,120.0,2205,169.6153846153846,117.43183846977162,330,45,27.0,23.53846153846154,13.920739285272198,47,2,unsafe
303.72804020842824,1441.8983044777676,3,4,1,120.0,1095,156.42857142857142,108.42094834863015,330,45,32.0,32.714285714285715,11.157499537009507,47,12,unsafe
84.5803907040383,1845.8307321440298,7,3,1,307.5,2550,255.0,107.74970997640783,345,45,34.5,28.0,17.578395831246947,47,2,safe
20.0,1226.4888854494811,7,2,5,315.0,2475,275.0,88.31760866327846,345,105,32.0,30.88888888888889,13.076224773266466,42,2,safe
191.65905615326017,1554.264401127221,6,10,7,75.0,2235,139.6875,122.28896043286164,345,15,19.5,21.6875,15.152222403000822,47,2,unsafe
167.6622457812031,693.9784892100064,3,3,3,165.0,1095,182.5,132.02745926510894,345,15,32.0,32.0,7.0710678118654755,42,22,safe
