Classifier,DataSet,Training Prediction,Test Predictions,Safe Precision,Unsafe Presicion,Safe Recall,Unsafe Recall,NumCorrect,NumIncorrect,
Logistic,0_5_split_random_beamng_1_5_no_stop.csv,71.85077519,27.98370672,71.87430848,0.217958557,0.349826389,0.274927396,0.283403657,687,1768

J48,beamng_segment_classification.csv,92.43341404358354,82.53206263728477,96.67983131401031,0.9989842669432918,0.03595284872298625,0.8248719641678117,0.8861985472154964,46591.0,9861.0
NaiveBayes,beamng_segment_classification.csv,71.79176755447942,63.67887763055339,96.57774951469308,0.997675135150276,0.0159028480555154,0.6355930691125823,0.7990314769975787,35948.0,20504.0
Logistic,beamng_segment_classification.csv,73.69854721549636,71.76185077588039,96.544280072294,0.997716101484534,0.01985157699443414,0.7171791074073414,0.7772397094430993,40511.0,15941.0

J48,beamng_segment_classification.csv,92.43341404358354,82.53206263728477,96.67983131401031,NaN,0.9989842669432918,0.03595284872298625,0.8248719641678117,0.8861985472154964,46591.0,9861.0
NaiveBayes,beamng_segment_classification.csv,71.79176755447942,63.67887763055339,96.57774951469308,NaN,0.997675135150276,0.0159028480555154,0.6355930691125823,0.7990314769975787,35948.0,20504.0
Logistic,beamng_segment_classification.csv,73.69854721549636,71.76185077588039,96.544280072294,NaN,0.997716101484534,0.01985157699443414,0.7171791074073414,0.7772397094430993,40511.0,15941.0

J48,segment_classification.csv,92.43341404358354,82.53206263728477,96.67983131401031,92.49394673123487,0.9989842669432918,0.03595284872298625,0.8248719641678117,0.8861985472154964,46591.0,9861.0
NaiveBayes,segment_classification.csv,71.79176755447942,63.67887763055339,96.57774951469308,72.03389830508475,0.997675135150276,0.0159028480555154,0.6355930691125823,0.7990314769975787,35948.0,20504.0
Logistic,segment_classification.csv,73.69854721549636,71.76185077588039,96.544280072294,74.818401937046,0.997716101484534,0.01985157699443414,0.7171791074073414,0.7772397094430993,40511.0,15941.0
RandomForest,segment_classification.csv,99.87893462469734,85.16793027704954,96.62962715041168,100.0,0.9992040551296553,0.04305396096440873,0.8512642980781242,0.9079903147699758,48079.0,8373.0

J48,segment_classification.csv,93.02325581395348,80.43749566664356,80.43749566664356,96.66309659281076,0.9972601538697586,0.07523407075979784,0.8030145254946257,0.8789932236205228,0.8896580043409398,0.13860479316134944,0.9972601538697586,0.07523407075979784,0.8030145254946257,0.8789932236205228,0.8896580043409398,0.13860479316134944,59756
NaiveBayes,segment_classification.csv,71.70542635658914,65.29848159190182,65.29848159190182,96.57774951469308,0.9942533387292594,0.03975372085131139,0.6504174094142149,0.7938044530493708,0.7863940932952072,0.07571560480147738,0.9942533387292594,0.03975372085131139,0.6504174094142149,0.7938044530493708,0.7863940932952072,0.07571560480147738,59756
Logistic,segment_classification.csv,73.54651162790698,71.6459821119046,71.6459821119046,96.544280072294,0.9938484915324853,0.04630232695837527,0.715720362166646,0.7570183930300097,0.8321602265498348,0.08726704608860619,0.9938484915324853,0.04630232695837527,0.715720362166646,0.7570183930300097,0.8321602265498348,0.08726704608860619,59756
RandomForest,segment_classification.csv,99.90310077519379,85.1001872009984,85.1001872009984,96.6363210388915,0.9975156822557605,0.09724145276387261,0.850403289856863,0.8838334946757018,0.918103694670452,0.17520629437727883,0.9975156822557605,0.09724145276387261,0.850403289856863,0.8838334946757018,0.918103694670452,0.17520629437727883,59756
